--------- beginning of main
07-13 16:34:50.572 D/EyeProtect(18164): {"timestamp":1783931690527,"face_id":14,"face_count":1,"fps":22.7,"latency_ms":39,"source_width":320,"source_height":240,"face_box":{"x1":107,"y1":74,"x2":319,"y2":239},"left_eye_box":{"x1":153,"y1":142,"x2":199,"y2":167},"left_eye_center":{"x":176,"y":155},"right_eye_box":{"x1":222,"y1":138,"x2":265,"y2":162},"right_eye_center":{"x":243,"y":150},"eye_distance_px":67,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:51.740 D/EyeProtect(18164): {"timestamp":1783931691706,"face_id":0,"face_count":1,"fps":26.3,"latency_ms":29,"source_width":320,"source_height":240,"face_box":{"x1":107,"y1":86,"x2":299,"y2":239},"left_eye_box":{"x1":148,"y1":165,"x2":198,"y2":192},"left_eye_center":{"x":173,"y":179},"right_eye_box":{"x1":222,"y1":155,"x2":266,"y2":181},"right_eye_center":{"x":244,"y":168},"eye_distance_px":72,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:52.259 D/EyeProtect(18164): {"timestamp":1783931692188,"face_id":16,"face_count":1,"fps":19.2,"latency_ms":64,"source_width":320,"source_height":240,"face_box":{"x1":110,"y1":88,"x2":319,"y2":239},"left_eye_box":{"x1":164,"y1":166,"x2":214,"y2":192},"left_eye_center":{"x":189,"y":179},"right_eye_box":{"x1":237,"y1":160,"x2":280,"y2":185},"right_eye_center":{"x":259,"y":173},"eye_distance_px":70,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:52.790 D/EyeProtect(18164): {"timestamp":1783931692720,"face_id":16,"face_count":1,"fps":17.6,"latency_ms":64,"source_width":320,"source_height":240,"face_box":{"x1":129,"y1":90,"x2":319,"y2":239},"left_eye_box":{"x1":174,"y1":157,"x2":220,"y2":183},"left_eye_center":{"x":197,"y":170},"right_eye_box":{"x1":240,"y1":159,"x2":282,"y2":184},"right_eye_center":{"x":261,"y":172},"eye_distance_px":64,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:53.369 D/EyeProtect(18164): {"timestamp":1783931693317,"face_id":16,"face_count":2,"fps":21.7,"latency_ms":44,"source_width":320,"source_height":240,"face_box":{"x1":81,"y1":90,"x2":319,"y2":239},"left_eye_box":{"x1":140,"y1":163,"x2":212,"y2":207},"left_eye_center":{"x":176,"y":185},"right_eye_box":{"x1":208,"y1":160,"x2":280,"y2":204},"right_eye_center":{"x":244,"y":182},"eye_distance_px":68,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.58,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:53.923 D/EyeProtect(18164): {"timestamp":1783931693859,"face_id":16,"face_count":1,"fps":21.0,"latency_ms":58,"source_width":320,"source_height":240,"face_box":{"x1":99,"y1":93,"x2":312,"y2":239},"left_eye_box":{"x1":146,"y1":162,"x2":195,"y2":189},"left_eye_center":{"x":170,"y":175},"right_eye_box":{"x1":215,"y1":158,"x2":260,"y2":184},"right_eye_center":{"x":238,"y":171},"eye_distance_px":68,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:54.452 D/EyeProtect(18164): {"timestamp":1783931694386,"face_id":16,"face_count":1,"fps":20.2,"latency_ms":61,"source_width":320,"source_height":240,"face_box":{"x1":100,"y1":94,"x2":319,"y2":239},"left_eye_box":{"x1":149,"y1":167,"x2":198,"y2":191},"left_eye_center":{"x":173,"y":179},"right_eye_box":{"x1":220,"y1":163,"x2":263,"y2":187},"right_eye_center":{"x":242,"y":175},"eye_distance_px":68,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:54.967 D/EyeProtect(18164): {"timestamp":1783931694918,"face_id":16,"face_count":1,"fps":19.7,"latency_ms":42,"source_width":320,"source_height":240,"face_box":{"x1":112,"y1":80,"x2":314,"y2":239},"left_eye_box":{"x1":157,"y1":155,"x2":204,"y2":181},"left_eye_center":{"x":180,"y":168},"right_eye_box":{"x1":225,"y1":153,"x2":268,"y2":179},"right_eye_center":{"x":246,"y":166},"eye_distance_px":66,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:55.467 D/EyeProtect(18164): {"timestamp":1783931695413,"face_id":16,"face_count":1,"fps":24.7,"latency_ms":48,"source_width":320,"source_height":240,"face_box":{"x1":164,"y1":74,"x2":319,"y2":239},"left_eye_box":{"x1":181,"y1":135,"x2":230,"y2":161},"left_eye_center":{"x":205,"y":148},"right_eye_box":{"x1":250,"y1":137,"x2":289,"y2":161},"right_eye_center":{"x":270,"y":149},"eye_distance_px":65,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:56.601 D/EyeProtect(18164): {"timestamp":1783931696527,"face_id":16,"face_count":1,"fps":29.4,"latency_ms":67,"source_width":320,"source_height":240,"face_box":{"x1":160,"y1":82,"x2":319,"y2":239},"left_eye_box":{"x1":233,"y1":146,"x2":280,"y2":170},"left_eye_center":{"x":257,"y":158},"right_eye_box":{"x1":298,"y1":147,"x2":319,"y2":171},"right_eye_center":{"x":309,"y":159},"eye_distance_px":52,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:57.139 D/EyeProtect(18164): {"timestamp":1783931697094,"face_id":17,"face_count":1,"fps":21.2,"latency_ms":39,"source_width":320,"source_height":240,"face_box":{"x1":142,"y1":84,"x2":319,"y2":239},"left_eye_box":{"x1":196,"y1":154,"x2":247,"y2":178},"left_eye_center":{"x":222,"y":166},"right_eye_box":{"x1":273,"y1":161,"x2":318,"y2":186},"right_eye_center":{"x":296,"y":173},"eye_distance_px":74,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:58.328 D/EyeProtect(18164): {"timestamp":1783931698271,"face_id":0,"face_count":1,"fps":27.5,"latency_ms":51,"source_width":320,"source_height":240,"face_box":{"x1":189,"y1":113,"x2":319,"y2":239},"left_eye_box":{"x1":239,"y1":162,"x2":288,"y2":185},"left_eye_center":{"x":264,"y":174},"right_eye_box":{"x1":307,"y1":172,"x2":319,"y2":194},"right_eye_center":{"x":313,"y":183},"eye_distance_px":50,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:34:58.829 D/EyeProtect(18164): {"timestamp":1783931698804,"face_id":0,"face_count":1,"fps":20.5,"latency_ms":20,"source_width":320,"source_height":240,"face_box":{"x1":149,"y1":97,"x2":319,"y2":239},"left_eye_box":{"x1":207,"y1":162,"x2":257,"y2":187},"left_eye_center":{"x":232,"y":174},"right_eye_box":{"x1":279,"y1":168,"x2":313,"y2":192},"right_eye_center":{"x":296,"y":180},"eye_distance_px":64,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:35:00.589 D/EyeProtect(18164): {"timestamp":1783931700536,"face_id":0,"face_count":1,"fps":34.0,"latency_ms":47,"source_width":320,"source_height":240,"face_box":{"x1":183,"y1":99,"x2":319,"y2":239},"left_eye_box":{"x1":245,"y1":142,"x2":294,"y2":166},"left_eye_center":{"x":270,"y":154},"right_eye_box":{"x1":310,"y1":147,"x2":319,"y2":169},"right_eye_center":{"x":315,"y":158},"eye_distance_px":45,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:35:01.119 D/EyeProtect(18164): {"timestamp":1783931701066,"face_id":19,"face_count":1,"fps":21.0,"latency_ms":47,"source_width":320,"source_height":240,"face_box":{"x1":168,"y1":94,"x2":319,"y2":239},"left_eye_box":{"x1":209,"y1":150,"x2":258,"y2":174},"left_eye_center":{"x":233,"y":162},"right_eye_box":{"x1":283,"y1":155,"x2":319,"y2":179},"right_eye_center":{"x":301,"y":167},"eye_distance_px":67,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:35:01.686 D/EyeProtect(18164): {"timestamp":1783931701614,"face_id":19,"face_count":1,"fps":19.4,"latency_ms":64,"source_width":320,"source_height":240,"face_box":{"x1":105,"y1":57,"x2":319,"y2":239},"left_eye_box":{"x1":166,"y1":136,"x2":210,"y2":162},"left_eye_center":{"x":188,"y":149},"right_eye_box":{"x1":233,"y1":128,"x2":280,"y2":153},"right_eye_center":{"x":256,"y":141},"eye_distance_px":68,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:35:02.232 D/EyeProtect(18164): {"timestamp":1783931702180,"face_id":19,"face_count":1,"fps":18.3,"latency_ms":45,"source_width":320,"source_height":240,"face_box":{"x1":111,"y1":80,"x2":280,"y2":239},"left_eye_box":{"x1":150,"y1":121,"x2":183,"y2":146},"left_eye_center":{"x":166,"y":134},"right_eye_box":{"x1":195,"y1":117,"x2":238,"y2":142},"right_eye_center":{"x":217,"y":129},"eye_distance_px":51,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:35:02.765 D/EyeProtect(18164): {"timestamp":1783931702716,"face_id":19,"face_count":1,"fps":20.8,"latency_ms":43,"source_width":320,"source_height":240,"face_box":{"x1":93,"y1":77,"x2":286,"y2":239},"left_eye_box":{"x1":135,"y1":144,"x2":168,"y2":169},"left_eye_center":{"x":152,"y":156},"right_eye_box":{"x1":181,"y1":131,"x2":222,"y2":156},"right_eye_center":{"x":201,"y":143},"eye_distance_px":51,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
07-13 16:35:03.297 D/EyeProtect(18164): {"timestamp":1783931703245,"face_id":19,"face_count":1,"fps":20.6,"latency_ms":44,"source_width":320,"source_height":240,"face_box":{"x1":110,"y1":72,"x2":279,"y2":239},"left_eye_box":{"x1":146,"y1":121,"x2":178,"y2":147},"left_eye_center":{"x":162,"y":134},"right_eye_box":{"x1":190,"y1":110,"x2":233,"y2":136},"right_eye_center":{"x":211,"y":123},"eye_distance_px":51,"estimated_distance_cm":null,"distance_state":"NEEDS_CALIBRATION","distance_confidence":0.90,"distance_method":"calibrated_eye_center_distance"}
